app,mode,request,iterations_per_run,runs,trimmed_mean_ms,mean_ms,median_ms,p95_ms,peak_mem
azera,warm,"GET /",1000,10,0.02514415,0.025201,0.0213,0.0385,2097152
azera,warm,"GET /items",1000,10,0.316964025,0.31901143,0.2689,0.5064,4194304
azera,warm,"GET /items/1",1000,10,0.2006448625,0.20022619,0.1711,0.323,4194304
azera,warm,"POST /items",1000,10,2.9080471,2.90469704,2.7919,3.5921,4194304
azera,warm,"PUT /items",1000,10,0.0970704375,0.10037693,0.0788,0.1685,4194304
azera,warm,"GET /items-qb",1000,10,0.301193575,0.30214479,0.2612,0.4802,4194304
azera,warm,"GET /items-qb/1",1000,10,0.20068245,0.20108306,0.1699,0.3228,4194304
azera,warm,"POST /items-qb",1000,10,0.096799875,0.09690686,0.0777,0.1627,4194304
